timestamp,grid_x,grid_y,cost_value,obstacle_density,object_count,cluster_count,safety_zone,region_type
2025-08-29T12:51:14.571533Z,7,2,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,8,2,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,9,2,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,0,3,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,1,3,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,2,3,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,3,3,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,4,3,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,5,3,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,6,3,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,7,3,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,8,3,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,9,3,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,0,4,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,1,4,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,2,4,0,0.000,0,0,GÜVENLİ,SOL
2025-08-29T12:51:14.571533Z,3,4,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,4,4,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,5,4,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,6,4,0,0.000,0,0,GÜVENLİ,ORTA
2025-08-29T12:51:14.571533Z,7,4,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,8,4,0,0.000,0,0,GÜVENLİ,SAĞ
2025-08-29T12:51:14.571533Z,9,4,0,0.000,0,0,GÜVENLİ,SAĞ
